style_id	family	title	feel	type_era	control	material_hint	a11y_watch	notes
pop-surreal	internet-expanded	Pop Surreal	lowbrow gallery weird	TY-DISPLAY-EXTREME	chunk-border	pop-surreal	style-specific contrast	expanded research list
porcelain	internet-expanded	Porcelain	fragile blue white	TY-DIDONE-LUX	ink-underline	porcelain-blue	style-specific contrast	expanded research list
postal	internet-expanded	Postal	stamps cancels airmail	TY-HUMANIST	ticket	airmail	style-specific contrast	expanded research list
pottery-barn-soft	internet-expanded	Soft Retail Home	safe lifestyle catalog	TY-HUMANIST	soft-rect	home-catalog	style-specific contrast	expanded research list
power-station	internet-expanded	Power Station	warning stripes industrial	TY-INDUSTRIAL-COND	chunk-border	warning-stripe	style-specific contrast	expanded research list
prairie	internet-expanded	Prairie	horizontal land sky	TY-HUMANIST	soft-rect	prairie	style-specific contrast	expanded research list
preppy	internet-expanded	Preppy	navy stripes collegiate	TY-TRANSITIONAL-SERIF	soft-rect	navy-stripe	style-specific contrast	expanded research list
printers-workshop	internet-expanded	Printers Workshop	type cases ink	TY-OLDSTYLE-SERIF	chunk-border	type-case	style-specific contrast	expanded research list
protest-poster	internet-expanded	Protest Poster	urgent one demand	TY-INDUSTRIAL-COND	filled-block	protest	style-specific contrast	expanded research list
psychedelic-modern	internet-expanded	Modern Psychedelic	controlled chaos colour	TY-DISPLAY-EXTREME	chunk-border	psych-modern	style-specific contrast	expanded research list
public-access	internet-expanded	Public Access TV	low budget crawl	TY-SYSTEM-RAW	sharp-0	public-access	style-specific contrast	expanded research list
pulp-sci-fi	internet-expanded	Pulp Sci-Fi	rocket covers lurid	TY-DISPLAY-EXTREME	chunk-border	pulp-rocket	style-specific contrast	expanded research list
quarry	internet-expanded	Quarry	stone cut dust	TY-GROTESQUE	sharp-0	stone-cut	style-specific contrast	expanded research list
quilt	internet-expanded	Quilt	block patterns warm	TY-HUMANIST	soft-rect	quilt-block	style-specific contrast	expanded research list
racing-livery	internet-expanded	Racing Livery	sponsor stripes speed	TY-INDUSTRIAL-COND	sharp-0	livery	style-specific contrast	expanded research list
radio-ham	internet-expanded	Ham Radio	dials meters frequencies	TY-MONO-DATA	chunk-border	radio-dial	style-specific contrast	expanded research list
rainy-city	internet-expanded	Rainy City	reflections umbrellas	TY-GROTESK-SOFT	soft-rect	rain-reflect	style-specific contrast	expanded research list
ranch	internet-expanded	Ranch	leather fence open	TY-SLAB	chunk-border	ranch-leather	style-specific contrast	expanded research list
record-shop	internet-expanded	Record Shop	bins sleeves stickers	TY-MIXED-HIGH-CONTRAST	chunk-border	record-sleeve	style-specific contrast	expanded research list
red-envelope	internet-expanded	Festive Red Envelope	celebration gold red care	TY-DISPLAY-EXTREME	ticket	red-gold	style-specific contrast	expanded research list
research-institute	internet-expanded	Research Institute	papers diagrams calm	TY-SERIF-TEXT	sharp-0	research-paper	style-specific contrast	expanded research list
resort-brutal	internet-expanded	Brutalist Resort	concrete holiday contrast	TY-GROTESQUE	sharp-0	concrete-holiday	style-specific contrast	expanded research list
retro-future-50s	internet-expanded	50s Retrofuture	atom cars optimism	TY-GEOMETRIC	pill	atom-car	style-specific contrast	expanded research list
ribbon	internet-expanded	Ribbon	banners awards ceremonial	TY-DIDONE-LUX	ticket	ribbon	style-specific contrast	expanded research list
riverboat	internet-expanded	Riverboat	paddle steam mark twain	TY-OLDSTYLE-SERIF	ticket	riverboat	style-specific contrast	expanded research list
road-atlas	internet-expanded	Road Atlas	highways legends	TY-HUMANIST	sharp-0	road-atlas	style-specific contrast	expanded research list
robot-toy	internet-expanded	Toy Robot	tin litho cute machine	TY-GEOMETRIC	chunk-border	tin-toy	style-specific contrast	expanded research list
rock-climbing	internet-expanded	Climbing Gym	holds chalk bright	TY-INDUSTRIAL-COND	chunk-border	climbing-hold	style-specific contrast	expanded research list
rococo-pastel	internet-expanded	Rococo Pastel Soft	pastel scroll soft UI	TY-SCRIPT-SPARSE	pill	rococo-pastel	style-specific contrast	expanded research list
romantic-comedy	internet-expanded	Romcom	warm soft focus type	TY-HUMANIST	pill	warm-soft	style-specific contrast	expanded research list
rooftop-bar	internet-expanded	Rooftop Bar	night skyline cocktails	TY-DIDONE-LUX	pill	skyline-night	style-specific contrast	expanded research list
rubber-hose	internet-expanded	Rubber Hose Animation	1920s bouncy characters	TY-ROUNDED	pill	rubber-hose	style-specific contrast	expanded research list
rust-belt	internet-expanded	Rust Belt	decay industry honest	TY-INDUSTRIAL-COND	chunk-border	rust	style-specific contrast	expanded research list
safari-colonial-careful	internet-expanded	Field Safari Graphic	field notes careful not stereotype	TY-HUMANIST	ink-underline	field-note	style-specific contrast	expanded research list
sailcloth	internet-expanded	Sailcloth	nautical fabric hardware	TY-HUMANIST	chunk-border	sailcloth	style-specific contrast	expanded research list
salon-hair	internet-expanded	Hair Salon	gloss mirrors fashion	TY-DIDONE-LUX	pill	salon-gloss	style-specific contrast	expanded research list
sandcastle	internet-expanded	Sandcastle	temporary playful grain	TY-ROUNDED	pill	sand	style-specific contrast	expanded research list
sauna	internet-expanded	Sauna	wood heat steam calm	TY-HUMANIST	soft-rect	sauna-wood	style-specific contrast	expanded research list
sci-fi-minimal	internet-expanded	Minimal Sci-Fi	clean future sparse	TY-GROTESK-SOFT	sharp-0	future-white	style-specific contrast	expanded research list
scrapbook	internet-expanded	Scrapbook	photos tape ephemera	TY-MIXED-HIGH-CONTRAST	ticket	scrapbook	style-specific contrast	expanded research list
scuba	internet-expanded	Scuba	depth gauges blue	TY-MONO-DATA	chunk-border	depth-gauge	style-specific contrast	expanded research list
sculptural	internet-expanded	Sculptural UI	forms as structure 3D	TY-GROTESK-SOFT	soft-rect	sculpture-form	style-specific contrast	expanded research list
seafood-shack	internet-expanded	Seafood Shack	picnic tables salt	TY-SLAB	chunk-border	shack	style-specific contrast	expanded research list
secret-society	internet-expanded	Secret Society	seals wax mystery	TY-OLDSTYLE-SERIF	ticket	wax-seal	style-specific contrast	expanded research list
seersucker	internet-expanded	Seersucker Summer	striped light south	TY-HUMANIST	soft-rect	seersucker	style-specific contrast	expanded research list
sewer	internet-expanded	Sewer Punk	underground pipes grime	TY-MONO-DATA	chunk-border	pipes	style-specific contrast	expanded research list
sewing-pattern	internet-expanded	Sewing Pattern	tissue notches grainlines	TY-SYSTEM-RAW	sharp-0	pattern-tissue	style-specific contrast	expanded research list
shipyard	internet-expanded	Shipyard	cranes steel harbour	TY-INDUSTRIAL-COND	chunk-border	shipyard	style-specific contrast	expanded research list
shoegaze	internet-expanded	Shoegaze	blur dream guitar	TY-GROTESK-SOFT	soft-rect	blur-dream	style-specific contrast	expanded research list
shop-front	internet-expanded	High Street Shopfront	awnings painted wood	TY-HUMANIST	chunk-border	shopfront	style-specific contrast	expanded research list
sixties-mod	internet-expanded	60s Mod	target circles sharp fashion	TY-GEOMETRIC	sharp-0	mod-target	style-specific contrast	expanded research list
sketch-app	internet-expanded	Sketch App Classic	artboard layers light	TY-GROTESK-SOFT	soft-rect	artboard-light	style-specific contrast	expanded research list
ski-resort	internet-expanded	Ski Resort	snow red lift	TY-INDUSTRIAL-COND	sharp-0	ski-red	style-specific contrast	expanded research list
sky-writing	internet-expanded	Sky Writing	air type ephemeral	TY-DISPLAY-EXTREME	ink-underline	sky	style-specific contrast	expanded research list
slate	internet-expanded	Slate	stone chalk grey-blue	TY-GROTESQUE	sharp-0	slate	style-specific contrast	expanded research list
smog-city	internet-expanded	Smog City	polluted orange dusk	TY-GROTESK-SOFT	sharp-0	smog	style-specific contrast	expanded research list
soda-fountain	internet-expanded	Soda Fountain	chrome stools pastel	TY-ROUNDED	pill	soda-chrome	style-specific contrast	expanded research list
soft-grunge	internet-expanded	Soft Grunge	muted 2014 tumblr	TY-MIXED-HIGH-CONTRAST	soft-rect	tumblr-mute	style-specific contrast	expanded research list
solar	internet-expanded	Solar	panels sun yellow tech	TY-GEOMETRIC	sharp-0	solar-yellow	style-specific contrast	expanded research list
spa-japanese	internet-expanded	Onsen Minimal	stone water steam quiet	TY-SERIF-TEXT	ink-underline	onsen	style-specific contrast	expanded research list
space-agency	internet-expanded	Space Agency	patches mission type	TY-GROTESQUE	sharp-0	mission-patch	style-specific contrast	expanded research list
speakeasy	internet-expanded	Speakeasy	hidden door gold dark	TY-DIDONE-LUX	ink-underline	speakeasy	style-specific contrast	expanded research list
spice-market	internet-expanded	Spice Market	warm piles colour	TY-HUMANIST	chunk-border	spice	style-specific contrast	expanded research list
sportswear-90s	internet-expanded	90s Sportswear	neon windbreaker	TY-INDUSTRIAL-COND	pill	windbreaker	style-specific contrast	expanded research list
stained-glass	internet-expanded	Stained Glass	lead lines coloured light	TY-OLDSTYLE-SERIF	ink-underline	stained-glass	style-specific contrast	expanded research list
stationers	internet-expanded	Stationers	ruled pads stamps	TY-HUMANIST	ink-underline	stationery	style-specific contrast	expanded research list
steam-railway	internet-expanded	Steam Railway	timetables enamel	TY-HUMANIST	ticket	enamel-railway	style-specific contrast	expanded research list
steel-mill	internet-expanded	Steel Mill	heat orange industry	TY-INDUSTRIAL-COND	chunk-border	steel-heat	style-specific contrast	expanded research list
stencil-street	internet-expanded	Street Stencil	protest spray quick	TY-STENCIL	sharp-0	spray	style-specific contrast	expanded research list
stone-circle	internet-expanded	Stone Circle	ancient quiet land	TY-OLDSTYLE-SERIF	ink-underline	standing-stone	style-specific contrast	expanded research list
subway-map	internet-expanded	Subway Map	lines transfers colour code	TY-HUMANIST	sharp-0	subway-map	style-specific contrast	expanded research list
sugar-high	internet-expanded	Sugar High	candy hyper colour	TY-ROUNDED	pill	candy	style-specific contrast	expanded research list
summit	internet-expanded	Summit	alpine sparse air	TY-GROTESQUE	sharp-0	alpine	style-specific contrast	expanded research list
supermarket-japan	internet-expanded	JP Supermarket	dense labels polite	TY-GROTESK-SOFT	soft-rect	jp-dense-label	style-specific contrast	expanded research list
surf-shack	internet-expanded	Surf Shack	wax boards salt wood	TY-HUMANIST	chunk-border	surf-wood	style-specific contrast	expanded research list
surgical	internet-expanded	Surgical	extreme clinical precision	TY-MONO-DATA	sharp-0	surgical	style-specific contrast	expanded research list
swamp	internet-expanded	Swamp	humid green murk	TY-HUMANIST	chunk-border	swamp-green	style-specific contrast	expanded research list
sweater-weather	internet-expanded	Sweater Weather	knit warm autumn	TY-HUMANIST	soft-rect	knit	style-specific contrast	expanded research list
synthetic-biology	internet-expanded	Synbio	lab future organic tech	TY-MONO-DATA	sharp-0	synbio	style-specific contrast	expanded research list
tableau-classic	internet-expanded	Classic Infographic	charticle 2010s	TY-GROTESK-SOFT	soft-rect	infographic	style-specific contrast	expanded research list
tavern	internet-expanded	Tavern	wood ale warm	TY-OLDSTYLE-SERIF	chunk-border	tavern-wood	style-specific contrast	expanded research list
taxi	internet-expanded	Taxi	yellow black city	TY-INDUSTRIAL-COND	sharp-0	taxi-yellow	style-specific contrast	expanded research list
tea-ceremony	internet-expanded	Tea Ceremony Inspired	spare ritual calm	TY-SERIF-TEXT	ink-underline	tea-spare	style-specific contrast	expanded research list
techwear	internet-expanded	Techwear	black modular utility	TY-GROTESK-SOFT	sharp-0	techwear	style-specific contrast	expanded research list
temple-quiet	internet-expanded	Temple Quiet	stone quiet threshold	TY-SERIF-TEXT	ink-underline	temple-stone	style-specific contrast	expanded research list
tennis-club	internet-expanded	Tennis Club	white green preppy sport	TY-HUMANIST	soft-rect	tennis-white	style-specific contrast	expanded research list
terminal-amber	internet-expanded	Amber Terminal	warm phosphor classic	TY-MONO-DATA	sharp-0	amber-crt	style-specific contrast	expanded research list
terminal-green	internet-expanded	Green Terminal	classic phosphor	TY-MONO-DATA	sharp-0	green-crt	style-specific contrast	expanded research list
terracotta-army	internet-expanded	Terracotta Inspired	earth ranks pattern care	TY-HUMANIST	sharp-0	terracotta-earth	style-specific contrast	expanded research list
textile-mill	internet-expanded	Textile Mill	looms thread industry	TY-INDUSTRIAL-COND	chunk-border	loom	style-specific contrast	expanded research list
theater-backstage	internet-expanded	Backstage	glow tape black	TY-SYSTEM-RAW	chunk-border	glow-tape	style-specific contrast	expanded research list
tide-pool-sci	internet-expanded	Tide Pool Science	creatures catalog	TY-SERIF-TEXT	ink-underline	tide-pool	style-specific contrast	expanded research list
tin-ceiling	internet-expanded	Tin Ceiling	pressed metal ornate	TY-DIDONE-LUX	ink-underline	tin-ceiling	style-specific contrast	expanded research list
toolbox	internet-expanded	Toolbox	foam cutouts tools	TY-INDUSTRIAL-COND	chunk-border	tool-foam	style-specific contrast	expanded research list
topo-only	internet-expanded	Topo Only	contour lines pure	TY-HUMANIST	sharp-0	contours	style-specific contrast	expanded research list
toy-store	internet-expanded	Toy Store	primary shelves joy	TY-ROUNDED	pill	toy-shelf	style-specific contrast	expanded research list
trade-show	internet-expanded	Trade Show	booth banners leads	TY-GROTESK-SOFT	filled-block	booth	style-specific contrast	expanded research list
train-compartment	internet-expanded	Train Compartment	window seats timetable	TY-HUMANIST	ticket	compartment	style-specific contrast	expanded research list
trench	internet-expanded	Trench	mud util military careful	TY-STENCIL	chunk-border	trench	style-specific contrast	expanded research list
tribal-tech	internet-expanded	Tribal-Tech Hybrid careful	pattern + HUD careful	TY-MIXED-HIGH-CONTRAST	sharp-0	pattern-hud	style-specific contrast	expanded research list
tropical-modernism	internet-expanded	Tropical Modernism	climate modern shade	TY-HUMANIST	soft-rect	shade-modern	style-specific contrast	expanded research list
truck-stop	internet-expanded	Truck Stop	highway coffee neon	TY-INDUSTRIAL-COND	chunk-border	highway-neon	style-specific contrast	expanded research list
typewriter	internet-expanded	Typewriter	monospace letters ink	TY-MONO-DATA	ink-underline	typewriter	style-specific contrast	expanded research list
typography-only	internet-expanded	Typography Only	no images type composition	TY-DISPLAY-EXTREME	ink-underline	type-only	style-specific contrast	expanded research list
underground-club	internet-expanded	Underground Club	black light low fi	TY-DISPLAY-EXTREME	sharp-0	blacklight	style-specific contrast	expanded research list
university-lab	internet-expanded	University Lab	grant posters diagrams	TY-SERIF-TEXT	sharp-0	grant-poster	style-specific contrast	expanded research list
urban-gardening	internet-expanded	Urban Gardening	planters city green	TY-HUMANIST	soft-rect	planter	style-specific contrast	expanded research list
utility-bill	internet-expanded	Utility Bill	tables due dates plain	TY-SYSTEM-RAW	sharp-0	utility-form	style-specific contrast	expanded research list
utopia	internet-expanded	Utopia	soft future hopeful diagrams	TY-GEOMETRIC	soft-rect	utopia	style-specific contrast	expanded research list
vacation-slideshow	internet-expanded	Vacation Slideshow	kodak carousels	TY-HUMANIST	soft-rect	kodak	style-specific contrast	expanded research list
valley	internet-expanded	Valley	vineyard rows calm	TY-HUMANIST	soft-rect	vineyard	style-specific contrast	expanded research list
vaudeville	internet-expanded	Vaudeville	stage lights variety	TY-DISPLAY-EXTREME	ticket	vaudeville	style-specific contrast	expanded research list
vector-flat-2013	internet-expanded	2013 Flat Vector	long shadow icons	TY-GROTESK-SOFT	soft-rect	long-shadow	style-specific contrast	expanded research list
velour	internet-expanded	Velour	soft luxe 70s	TY-DIDONE-LUX	pill	velour	style-specific contrast	expanded research list
venetian	internet-expanded	Venetian	canals ornate decay beauty	TY-DIDONE-LUX	ink-underline	venetian	style-specific contrast	expanded research list
video-store	internet-expanded	Video Store	VHS walls neon	TY-DISPLAY-EXTREME	chunk-border	vhs-wall	style-specific contrast	expanded research list
villa	internet-expanded	Villa	mediterranean leisure	TY-HUMANIST	soft-rect	villa	style-specific contrast	expanded research list
vintage-computer	internet-expanded	Vintage Computer	beige CRT UI	TY-SYSTEM-RAW	sharp-0	beige-crt	style-specific contrast	expanded research list
vintage-sports	internet-expanded	Vintage Sports	letterman patches	TY-INDUSTRIAL-COND	ticket	letterman	style-specific contrast	expanded research list
volcanic	internet-expanded	Volcanic	basalt lava heat	TY-GROTESQUE	sharp-0	basalt-lava	style-specific contrast	expanded research list
voyager	internet-expanded	Voyager	golden record space	TY-GROTESQUE	sharp-0	golden-record	style-specific contrast	expanded research list
wallpaper-william-morris	internet-expanded	Morris Wallpaper	dense botanical craft	TY-OLDSTYLE-SERIF	ink-underline	morris-botanical	style-specific contrast	expanded research list
warehouse-rave	internet-expanded	Warehouse Rave	industrial dance	TY-GROTESQUE	sharp-0	rave-warehouse	style-specific contrast	expanded research list
watercolor-soft	internet-expanded	Soft Watercolour	washes edges bleed	TY-HUMANIST	soft-rect	watercolour	style-specific contrast	expanded research list
weather-channel-90s	internet-expanded	90s Weather	maps gradients local	TY-SYSTEM-RAW	soft-rect	weather-map	style-specific contrast	expanded research list
wedding-stationery	internet-expanded	Wedding Stationery	calligraphy suites	TY-SCRIPT-SPARSE	ink-underline	wedding-paper	style-specific contrast	expanded research list
weird-nature	internet-expanded	Weird Nature	uncanny plants	TY-MIXED-HIGH-CONTRAST	chunk-border	weird-plant	style-specific contrast	expanded research list
western-saloon	internet-expanded	Western Saloon	wood swinging doors	TY-SLAB	chunk-border	saloon	style-specific contrast	expanded research list
wet-market-careful	internet-expanded	Market Fresh Graphic	produce abundance careful	TY-HUMANIST	chunk-border	produce	style-specific contrast	expanded research list
whale	internet-expanded	Whale	deep blue scale awe	TY-SERIF-TEXT	ink-underline	whale-blue	style-specific contrast	expanded research list
wheatpaste	internet-expanded	Wheatpaste	street posters layers	TY-INDUSTRIAL-COND	chunk-border	wheatpaste	style-specific contrast	expanded research list
whimsical-map	internet-expanded	Whimsical Map	illustrated lands labels	TY-OLDSTYLE-SERIF	ticket	whimsy-map	style-specific contrast	expanded research list
white-cube	internet-expanded	White Cube Gallery	neutral art container	TY-GROTESK-SOFT	ink-underline	white-cube	style-specific contrast	expanded research list
wilderness	internet-expanded	Wilderness	topo trail risk	TY-HUMANIST	chunk-border	wilderness	style-specific contrast	expanded research list
windmill	internet-expanded	Windmill	dutch landscape type	TY-HUMANIST	soft-rect	windmill	style-specific contrast	expanded research list
winter-cabin	internet-expanded	Winter Cabin	fire snow wood	TY-SLAB	chunk-border	cabin-winter	style-specific contrast	expanded research list
wireframe-aesthetic	internet-expanded	Wireframe Aesthetic	intentionally unfinished	TY-SYSTEM-RAW	sharp-0	wireframe	style-specific contrast	expanded research list
woodcut-modern	internet-expanded	Modern Woodcut	bold carved contemporary	TY-DISPLAY-EXTREME	chunk-border	modern-woodcut	style-specific contrast	expanded research list
workshop-manual	internet-expanded	Workshop Manual	exploded diagrams	TY-MONO-DATA	sharp-0	exploded-diagram	style-specific contrast	expanded research list
world-fair	internet-expanded	World Fair	expo optimism pavilions	TY-GEOMETRIC	ticket	expo-fair	style-specific contrast	expanded research list
wreck	internet-expanded	Shipwreck	salt decay salvage	TY-MIXED-HIGH-CONTRAST	chunk-border	salvage	style-specific contrast	expanded research list
writing-desk	internet-expanded	Writing Desk	blotter pen inkwell	TY-OLDSTYLE-SERIF	ink-underline	blotter	style-specific contrast	expanded research list
xray	internet-expanded	X-Ray	ghost anatomy blue	TY-MONO-DATA	sharp-0	xray	style-specific contrast	expanded research list
yacht	internet-expanded	Yacht	navy white rope polish	TY-HUMANIST	soft-rect	yacht-navy	style-specific contrast	expanded research list
yard-sale	internet-expanded	Yard Sale	handwritten prices chaos	TY-MIXED-HIGH-CONTRAST	ticket	yard-sale	style-specific contrast	expanded research list
yellow-pages	internet-expanded	Yellow Pages	dense directories ads	TY-SYSTEM-RAW	ink-underline	yellow-pages	style-specific contrast	expanded research list
zen-garden	internet-expanded	Zen Garden	raked gravel spare	TY-SERIF-TEXT	ink-underline	raked-gravel	style-specific contrast	expanded research list
zero-waste	internet-expanded	Zero Waste	kraft repair reuse	TY-HUMANIST	chunk-border	repair-kraft	style-specific contrast	expanded research list
zoo-signage	internet-expanded	Zoo Signage	species panels kids adult	TY-HUMANIST	chunk-border	species-panel	style-specific contrast	expanded research list
zine-music	internet-expanded	Music Zine	interviews xerox photos	TY-MIXED-HIGH-CONTRAST	chunk-border	music-zine	style-specific contrast	expanded research list
airline-lcc	industry-expanded	Low-Cost Carrier	bright fees clear	TY-INDUSTRIAL-COND	filled-block	lcc-bright	domain contrast	industry research expansion
airline-legacy	industry-expanded	Legacy Carrier	trust blue calm	TY-HUMANIST	soft-rect	legacy-blue	domain contrast	industry research expansion
airport-wayfinding	industry-expanded	Airport Wayfinding	pictograms distances	TY-HUMANIST	sharp-0	airport	domain contrast	industry research expansion
ambulance-dispatch	industry-expanded	Ambulance Dispatch	urgency calm clarity	TY-HUMANIST	chunk-border	dispatch	domain contrast	industry research expansion
architecture-portfolio	industry-expanded	Architecture Portfolio	project grids plans	TY-GROTESQUE	ink-underline	portfolio-arch	domain contrast	industry research expansion
art-school	industry-expanded	Art School	critique walls mess creative	TY-MIXED-HIGH-CONTRAST	chunk-border	critique-wall	domain contrast	industry research expansion
auction-house	industry-expanded	Auction House	lot numbers paddles	TY-TRANSITIONAL-SERIF	ticket	auction	domain contrast	industry research expansion
auto-dealer	industry-expanded	Auto Dealer	inventory hero finance	TY-GROTESK-SOFT	soft-rect	dealer	domain contrast	industry research expansion
auto-repair	industry-expanded	Auto Repair	work orders grease	TY-INDUSTRIAL-COND	chunk-border	garage	domain contrast	industry research expansion
bakery	industry-expanded	Bakery	warm type flour	TY-OLDSTYLE-SERIF	soft-rect	bakery	domain contrast	industry research expansion
barbershop	industry-expanded	Barbershop	stripes classic chairs	TY-DISPLAY-EXTREME	chunk-border	barber	domain contrast	industry research expansion
bike-shop	industry-expanded	Bike Shop	parts racks grease	TY-HUMANIST	chunk-border	bike-shop	domain contrast	industry research expansion
biotech	industry-expanded	Biotech	DNA calm science	TY-GROTESK-SOFT	soft-rect	biotech	domain contrast	industry research expansion
bookstore-indie	industry-expanded	Indie Bookstore	staff picks shelves	TY-OLDSTYLE-SERIF	ink-underline	indie-books	domain contrast	industry research expansion
brewery	industry-expanded	Brewery	taps grain industrial craft	TY-SLAB	chunk-border	brewery	domain contrast	industry research expansion
broadcast-news	industry-expanded	Broadcast News	lower thirds urgency	TY-INDUSTRIAL-COND	sharp-0	lower-third	domain contrast	industry research expansion
builders-merchant	industry-expanded	Builders Merchant	SKU dense trade	TY-INDUSTRIAL-COND	chunk-border	trade-counter	domain contrast	industry research expansion
butcher	industry-expanded	Butcher	classic shop tiles	TY-SLAB	chunk-border	butcher-tile	domain contrast	industry research expansion
campus-portal	industry-expanded	Campus Portal	courses deadlines	TY-HUMANIST	soft-rect	campus	domain contrast	industry research expansion
car-share	industry-expanded	Car Share	map unlock trip	TY-GROTESK-SOFT	pill	car-share	domain contrast	industry research expansion
care-home	industry-expanded	Care Home	calm large type dignity	TY-HUMANIST	soft-rect	care	domain contrast	industry research expansion
charity-kids	industry-expanded	Kids Charity	hopeful careful not exploitative	TY-ROUNDED	pill	charity-kids	domain contrast	industry research expansion
chemist-uk	industry-expanded	UK Chemist	green cross practical	TY-HUMANIST	soft-rect	chemist	domain contrast	industry research expansion
childcare	industry-expanded	Childcare	schedules bright clear	TY-ROUNDED	pill	childcare	domain contrast	industry research expansion
cinema-arthouse	industry-expanded	Arthouse Cinema	poster critical	TY-DIDONE-LUX	ink-underline	arthouse	domain contrast	industry research expansion
city-council	industry-expanded	City Council	services plain	TY-HUMANIST	sharp-0	council	domain contrast	industry research expansion
cleaning-service	industry-expanded	Cleaning Service	fresh simple trust	TY-HUMANIST	pill	clean	domain contrast	industry research expansion
clinic-dental	industry-expanded	Dental Clinic	bright clean calm	TY-HUMANIST	pill	dental	domain contrast	industry research expansion
co-working	industry-expanded	Co-working	community boards booking	TY-GROTESK-SOFT	soft-rect	cowork	domain contrast	industry research expansion
coffee-roaster	industry-expanded	Coffee Roaster	origin cards craft	TY-HUMANIST	chunk-border	roaster	domain contrast	industry research expansion
construction	industry-expanded	Construction	site safety orange	TY-INDUSTRIAL-COND	chunk-border	site-orange	domain contrast	industry research expansion
consultancy	industry-expanded	Consultancy	thought leadership calm	TY-GROTESK-SOFT	soft-rect	consult	domain contrast	industry research expansion
courier	industry-expanded	Courier	tracking plain fast	TY-HUMANIST	sharp-0	courier	domain contrast	industry research expansion
craft-beer-bar	industry-expanded	Craft Beer Bar	taps boards industrial	TY-SLAB	chunk-border	taproom	domain contrast	industry research expansion
creche	industry-expanded	Creche	soft large targets	TY-ROUNDED	pill	creche	domain contrast	industry research expansion
crypto-exchange	industry-expanded	Crypto Exchange	dense pairs dark	TY-MONO-DATA	sharp-0	exchange-dark	domain contrast	industry research expansion
cycling-club	industry-expanded	Cycling Club	routes elevation	TY-HUMANIST	chunk-border	cycling	domain contrast	industry research expansion
dark-kitchen	industry-expanded	Dark Kitchen	ops tickets speed	TY-INDUSTRIAL-COND	chunk-border	dark-kitchen	domain contrast	industry research expansion
dating-app	industry-expanded	Dating App	cards profiles careful	TY-ROUNDED	pill	dating	domain contrast	industry research expansion
delivery-driver	industry-expanded	Driver App	nav big buttons	TY-HUMANIST	filled-block	driver	domain contrast	industry research expansion
dentist-pediatric	industry-expanded	Pediatric Dental	friendly not scary	TY-ROUNDED	pill	pedo-dental	domain contrast	industry research expansion
design-agency	industry-expanded	Design Agency	case studies bold	TY-GROTESQUE	sharp-0	agency	domain contrast	industry research expansion
distillery	industry-expanded	Distillery	cask heritage liquid	TY-OLDSTYLE-SERIF	chunk-border	cask	domain contrast	industry research expansion
diy-store	industry-expanded	DIY Store	aisles how-to	TY-HUMANIST	chunk-border	diy	domain contrast	industry research expansion
doctor-gp	industry-expanded	GP Surgery	bookings clinical calm	TY-HUMANIST	soft-rect	gp	domain contrast	industry research expansion
dog-groomer	industry-expanded	Dog Groomer	playful clean	TY-ROUNDED	pill	groomer	domain contrast	industry research expansion
domain-registrar	industry-expanded	Domain Registrar	search technical retail	TY-MONO-DATA	sharp-0	domains	domain contrast	industry research expansion
driving-school	industry-expanded	Driving School	lessons progress	TY-HUMANIST	soft-rect	driving	domain contrast	industry research expansion
electronics-store	industry-expanded	Electronics Retail	spec grids	TY-GROTESK-SOFT	soft-rect	electronics	domain contrast	industry research expansion
emergency-services	industry-expanded	Emergency Services	clear critical	TY-HUMANIST	chunk-border	emergency	domain contrast	industry research expansion
energy-supplier	industry-expanded	Energy Supplier	bills usage	TY-HUMANIST	soft-rect	energy-bill	domain contrast	industry research expansion
estate-agent-uk	industry-expanded	UK Estate Agent	listings rooms	TY-HUMANIST	soft-rect	estate-agent	domain contrast	industry research expansion
event-ticketing	industry-expanded	Event Ticketing	dates venues QR	TY-GROTESK-SOFT	ticket	ticketing	domain contrast	industry research expansion
farm-shop	industry-expanded	Farm Shop	produce seasons	TY-HUMANIST	chunk-border	farm-shop	domain contrast	industry research expansion
fashion-rental	industry-expanded	Fashion Rental	wardrobe grid	TY-DIDONE-LUX	pill	rental-fashion	domain contrast	industry research expansion
ferry	industry-expanded	Ferry	timetables weather	TY-HUMANIST	chunk-border	ferry	domain contrast	industry research expansion
festival-org	industry-expanded	Festival Organiser	lineups maps	TY-DISPLAY-EXTREME	ticket	festival	domain contrast	industry research expansion
film-production	industry-expanded	Film Production	call sheets sides	TY-SYSTEM-RAW	sharp-0	callsheet	domain contrast	industry research expansion
fishmonger	industry-expanded	Fishmonger	slate ice catch	TY-SLAB	chunk-border	fish-slate	domain contrast	industry research expansion
fitness-budget	industry-expanded	Budget Gym	hard sell energy	TY-INDUSTRIAL-COND	filled-block	budget-gym	domain contrast	industry research expansion
fitness-boutique	industry-expanded	Boutique Fitness	aspirational calm sweat	TY-GROTESK-SOFT	pill	boutique-fit	domain contrast	industry research expansion
florist	industry-expanded	Florist	seasonal delicate	TY-OLDSTYLE-SERIF	soft-rect	florist	domain contrast	industry research expansion
food-bank	industry-expanded	Food Bank	dignity practical stock	TY-HUMANIST	chunk-border	foodbank	domain contrast	industry research expansion
football-club	industry-expanded	Football Club	crest fixtures	TY-INDUSTRIAL-COND	chunk-border	football	domain contrast	industry research expansion
